
Prueba con 5 usuarios (Nivel: SERIALIZABLE)
[11:22:33.801] Usuario 1 intentando reservar asiento 20
[11:22:33.802] Usuario 2 intentando reservar asiento 12
[11:22:33.804] Usuario 3 intentando reservar asiento 20
[11:22:33.804] Usuario 4 intentando reservar asiento 12
[11:22:33.806] Usuario 5 intentando reservar asiento 1
Prueba con 10 usuarios (Nivel: SERIALIZABLE)
[11:22:33.997] Usuario 3 intentando reservar asiento 13
[11:22:33.998] Usuario 4 intentando reservar asiento 19
[11:22:34.000] Usuario 5 intentando reservar asiento 3
[11:22:34.002] Usuario 6 intentando reservar asiento 9
[11:22:34.003] Usuario 7 intentando reservar asiento 11
[11:22:34.006] Usuario 9 intentando reservar asiento 20
[11:22:34.007] Usuario 10 intentando reservar asiento 16
[11:22:34.100] Usuario 8 intentando reservar asiento 4
[11:22:34.100] Usuario 1 intentando reservar asiento 15
[11:22:34.100] Usuario 2 intentando reservar asiento 20
Prueba con 20 usuarios (Nivel: SERIALIZABLE)
[11:22:34.404] Usuario 2 intentando reservar asiento 4
[11:22:34.406] Usuario 1 intentando reservar asiento 18
[11:22:34.411] Usuario 3 intentando reservar asiento 16
[11:22:34.418] Usuario 6 intentando reservar asiento 2
[11:22:34.419] Usuario 5 intentando reservar asiento 1
[11:22:34.428] Usuario 10 intentando reservar asiento 15
[11:22:34.428] Usuario 9 intentando reservar asiento 14
[11:22:34.433] Usuario 4 intentando reservar asiento 9
[11:22:34.434] Usuario 7 intentando reservar asiento 7
[11:22:34.452] Usuario 16 intentando reservar asiento 20
[11:22:34.452] Usuario 14 intentando reservar asiento 5
[11:22:34.454] Usuario 12 intentando reservar asiento 14
[11:22:34.454] Usuario 13 intentando reservar asiento 7
[11:22:34.455] Usuario 11 intentando reservar asiento 2
[11:22:34.456] Usuario 15 intentando reservar asiento 6
[11:22:34.461] Usuario 18 intentando reservar asiento 9
[11:22:34.461] Usuario 20 intentando reservar asiento 1
[11:22:34.462] Usuario 19 intentando reservar asiento 13
[11:22:34.463] Usuario 17 intentando reservar asiento 17
[11:22:34.496] Usuario 8 intentando reservar asiento 18
Prueba con 30 usuarios (Nivel: SERIALIZABLE)
[11:22:34.664] Usuario 2 intentando reservar asiento 11
[11:22:34.671] Usuario 3 intentando reservar asiento 14
[11:22:34.692] Usuario 6 intentando reservar asiento 8
[11:22:34.692] Usuario 4 intentando reservar asiento 15
[11:22:34.698] Usuario 9 intentando reservar asiento 15
[11:22:34.703] Usuario 13 intentando reservar asiento 14
[11:22:34.703] Usuario 11 intentando reservar asiento 8
[11:22:34.718] Usuario 5 intentando reservar asiento 16
[11:22:34.723] Usuario 12 intentando reservar asiento 3
[11:22:34.723] Usuario 8 intentando reservar asiento 16
[11:22:34.738] Usuario 14 intentando reservar asiento 15
[11:22:34.738] Usuario 10 intentando reservar asiento 12
[11:22:34.738] Usuario 7 intentando reservar asiento 4
[11:22:34.739] Usuario 19 intentando reservar asiento 5
[11:22:34.748] Usuario 15 intentando reservar asiento 19
[11:22:34.748] Usuario 21 intentando reservar asiento 5
[11:22:34.757] Usuario 16 intentando reservar asiento 6
[11:22:34.758] Usuario 23 intentando reservar asiento 9
[11:22:34.763] Usuario 22 intentando reservar asiento 4
[11:22:34.764] Usuario 25 intentando reservar asiento 5
[11:22:34.765] Usuario 30 intentando reservar asiento 9
[11:22:34.765] Usuario 28 intentando reservar asiento 12
[11:22:34.768] Usuario 24 intentando reservar asiento 12
[11:22:34.769] Usuario 26 intentando reservar asiento 10
[11:22:34.769] Usuario 27 intentando reservar asiento 6
[11:22:34.772] Usuario 17 intentando reservar asiento 19
[11:22:34.775] Usuario 29 intentando reservar asiento 4
[11:22:34.776] Usuario 1 intentando reservar asiento 16
[11:22:34.778] Usuario 18 intentando reservar asiento 6
[11:22:34.797] Usuario 20 intentando reservar asiento 16
